backend,size,run,transfer_h2d_ms,compute_ms,transfer_d2h_ms,total_ms
numpy,256,0,0.0,0.12993812561035156,0.0,0.12993812561035156
numpy,256,1,0.0,0.12254714965820312,0.0,0.12254714965820312
numpy,256,2,0.0,0.13399124145507812,0.0,0.13399124145507812
numpy,256,3,0.0,0.12159347534179688,0.0,0.12159347534179688
numpy,256,4,0.0,0.13828277587890625,0.0,0.13828277587890625
numpy,256,5,0.0,0.14901161193847656,0.0,0.14901161193847656
cupy,256,0,0.056743621826171875,0.11730194091796875,0.10800361633300781,0.28204917907714844
cupy,256,1,0.054836273193359375,0.1163482666015625,0.08726119995117188,0.25844573974609375
cupy,256,2,0.04935264587402344,0.11277198791503906,0.08368492126464844,0.24580955505371094
cupy,256,3,0.05078315734863281,0.11968612670898438,0.08416175842285156,0.25463104248046875
cupy,256,4,0.05054473876953125,0.1125335693359375,0.08344650268554688,0.24652481079101562
cupy,256,5,0.05745887756347656,0.10919570922851562,0.08463859558105469,0.2512931823730469
numpy,512,0,0.0,0.9984970092773438,0.0,0.9984970092773438
numpy,512,1,0.0,0.8976459503173828,0.0,0.8976459503173828
numpy,512,2,0.0,0.8013248443603516,0.0,0.8013248443603516
numpy,512,3,0.0,0.8673667907714844,0.0,0.8673667907714844
numpy,512,4,0.0,0.9210109710693359,0.0,0.9210109710693359
numpy,512,5,0.0,0.9586811065673828,0.0,0.9586811065673828
cupy,512,0,0.18787384033203125,0.5171298980712891,0.2942085266113281,0.9992122650146484
cupy,512,1,0.2853870391845703,0.4088878631591797,0.3066062927246094,1.0008811950683594
cupy,512,2,0.1385211944580078,0.4253387451171875,0.2892017364501953,0.8530616760253906
cupy,512,3,0.2789497375488281,0.41556358337402344,0.2932548522949219,0.9877681732177734
cupy,512,4,0.14281272888183594,0.4260540008544922,0.28061866760253906,0.8494853973388672
cupy,512,5,0.28252601623535156,0.3960132598876953,0.2887248992919922,0.9672641754150391
numpy,1024,0,0.0,7.66301155090332,0.0,7.66301155090332
numpy,1024,1,0.0,7.733821868896484,0.0,7.733821868896484
numpy,1024,2,0.0,7.544994354248047,0.0,7.544994354248047
numpy,1024,3,0.0,7.415056228637695,0.0,7.415056228637695
numpy,1024,4,0.0,7.563591003417969,0.0,7.563591003417969
numpy,1024,5,0.0,8.661508560180664,0.0,8.661508560180664
cupy,1024,0,0.8902549743652344,2.1500587463378906,0.7801055908203125,3.8204193115234375
cupy,1024,1,0.8931159973144531,2.1162033081054688,0.9663105010986328,3.9756298065185547
cupy,1024,2,0.6127357482910156,1.9164085388183594,0.9114742279052734,3.4406185150146484
cupy,1024,3,0.8823871612548828,1.9207000732421875,0.7822513580322266,3.585338592529297
cupy,1024,4,1.0292530059814453,2.0399093627929688,0.7746219635009766,3.8437843322753906
cupy,1024,5,0.7994174957275391,1.9006729125976562,0.7932186126708984,3.4933090209960938
